Number,Date&Time,ms,CH1,CH2,CH3
NO.,Time,ms,degC,degC,degC
1,22/01/2021 10:55,0,21.6,20.8,21.5
2,22/01/2021 10:55,500,21.7,20.8,21.6
3,22/01/2021 10:55,0,21.6,20.8,21.6
4,22/01/2021 10:55,500,21.7,20.9,21.6
5,22/01/2021 10:55,0,21.6,20.8,21.6
6,22/01/2021 10:55,500,21.7,20.8,21.6
7,22/01/2021 10:55,0,21.7,20.9,21.6
8,22/01/2021 10:55,500,21.7,20.9,21.6
9,22/01/2021 10:55,0,21.7,20.9,21.6
10,22/01/2021 10:55,500,21.7,20.8,21.6
11,22/01/2021 10:55,0,21.7,20.9,21.6
12,22/01/2021 10:55,500,21.7,20.8,21.6
13,22/01/2021 10:55,0,21.6,20.8,21.6
14,22/01/2021 10:55,500,21.7,20.8,21.6
15,22/01/2021 10:55,0,21.7,20.8,21.7
16,22/01/2021 10:55,500,21.7,20.8,21.6
17,22/01/2021 10:55,0,21.7,20.8,21.7
18,22/01/2021 10:55,500,21.7,20.9,21.6
19,22/01/2021 10:55,0,21.7,20.8,21.7
20,22/01/2021 10:55,500,21.8,20.9,21.7
21,22/01/2021 10:55,0,21.8,20.9,21.8
22,22/01/2021 10:55,500,21.7,21,21.7
23,22/01/2021 10:55,0,21.8,21,21.8
24,22/01/2021 10:55,500,21.8,21,21.8
25,22/01/2021 10:55,0,21.8,21,21.8
26,22/01/2021 10:55,500,21.8,21,21.8
27,22/01/2021 10:55,0,21.8,21,21.8
28,22/01/2021 10:55,500,21.8,21,21.8
29,22/01/2021 10:55,0,21.7,21,21.8
30,22/01/2021 10:55,500,21.8,21,21.8
31,22/01/2021 10:55,0,21.7,21,21.7
32,22/01/2021 10:55,500,21.8,21,21.7
33,22/01/2021 10:55,0,21.8,21,21.7
34,22/01/2021 10:55,500,21.7,21,21.8
35,22/01/2021 10:55,0,21.8,21,21.7
36,22/01/2021 10:55,500,21.7,20.9,21.7
37,22/01/2021 10:55,0,21.8,21,21.6
38,22/01/2021 10:55,500,21.7,21,21.6
39,22/01/2021 10:55,0,21.8,21,21.6
40,22/01/2021 10:55,500,21.8,21,21.6
41,22/01/2021 10:55,0,21.8,21,21.6
42,22/01/2021 10:55,500,21.8,21,21.6
43,22/01/2021 10:55,0,21.8,21,21.6
44,22/01/2021 10:55,500,21.8,20.9,21.6
45,22/01/2021 10:55,0,21.6,20.9,21.6
46,22/01/2021 10:55,500,21.8,20.9,21.6
47,22/01/2021 10:55,0,21.7,20.8,21.5
48,22/01/2021 10:55,500,21.7,20.9,21.6
49,22/01/2021 10:55,0,21.8,20.9,21.6
50,22/01/2021 10:55,500,21.8,20.9,21.6
51,22/01/2021 10:55,0,21.8,20.9,21.6
52,22/01/2021 10:55,500,21.8,20.9,21.6
53,22/01/2021 10:55,0,21.8,21,21.7
54,22/01/2021 10:55,500,21.8,21,21.7
55,22/01/2021 10:55,0,21.8,21,21.7
56,22/01/2021 10:55,500,21.8,21,21.7
57,22/01/2021 10:55,0,21.8,21,21.6
58,22/01/2021 10:55,500,21.8,21,21.6
59,22/01/2021 10:55,0,21.8,21,21.6
60,22/01/2021 10:55,500,21.8,21,21.6
61,22/01/2021 10:55,0,21.8,21,21.6
62,22/01/2021 10:55,500,21.8,21,21.6
63,22/01/2021 10:55,0,21.8,20.9,21.6
64,22/01/2021 10:55,500,21.8,21,21.6
65,22/01/2021 10:55,0,21.8,21,21.6
66,22/01/2021 10:55,500,21.8,21,21.6
67,22/01/2021 10:55,0,21.8,21,21.6
68,22/01/2021 10:55,500,21.8,21,21.6
69,22/01/2021 10:55,0,21.8,21,21.6
70,22/01/2021 10:55,500,21.8,21,21.6
71,22/01/2021 10:55,0,21.8,21,21.6
72,22/01/2021 10:55,500,21.8,21,21.6
73,22/01/2021 10:55,0,21.8,21,21.6
74,22/01/2021 10:55,500,21.8,20.9,21.6
75,22/01/2021 10:55,0,21.8,21,21.6
76,22/01/2021 10:55,500,21.8,21,21.6
77,22/01/2021 10:55,0,21.8,20.9,21.6
78,22/01/2021 10:55,500,21.8,21,21.6
79,22/01/2021 10:55,0,21.8,20.9,21.6
80,22/01/2021 10:55,500,21.8,20.9,21.6
81,22/01/2021 10:55,0,21.8,20.9,21.6
82,22/01/2021 10:55,500,21.8,21,21.6
83,22/01/2021 10:56,0,21.8,20.9,21.6
84,22/01/2021 10:56,500,21.8,21,21.6
85,22/01/2021 10:56,0,21.8,20.9,21.6
86,22/01/2021 10:56,500,21.7,20.9,21.6
87,22/01/2021 10:56,0,21.8,20.9,21.6
88,22/01/2021 10:56,500,21.8,20.9,21.6
89,22/01/2021 10:56,0,21.8,20.9,21.5
90,22/01/2021 10:56,500,21.8,20.8,21.6
91,22/01/2021 10:56,0,21.8,20.8,21.5
92,22/01/2021 10:56,500,21.8,20.9,21.5
93,22/01/2021 10:56,0,21.8,20.9,21.5
94,22/01/2021 10:56,500,21.8,20.9,21.5
95,22/01/2021 10:56,0,21.8,20.8,21.5
96,22/01/2021 10:56,500,21.7,20.9,21.5
97,22/01/2021 10:56,0,21.8,20.9,21.5
98,22/01/2021 10:56,500,21.8,20.8,21.5
99,22/01/2021 10:56,0,21.8,20.9,21.5
100,22/01/2021 10:56,500,21.8,21,21.5
101,22/01/2021 10:56,0,21.8,20.9,21.5
102,22/01/2021 10:56,500,21.8,20.9,21.5
103,22/01/2021 10:56,0,21.8,21,21.5
104,22/01/2021 10:56,500,21.8,21,21.5
105,22/01/2021 10:56,0,21.8,21,21.6
106,22/01/2021 10:56,500,21.8,21,21.5
107,22/01/2021 10:56,0,21.8,21,21.5
108,22/01/2021 10:56,500,21.8,21,21.5
109,22/01/2021 10:56,0,21.8,20.9,21.6
110,22/01/2021 10:56,500,21.8,21,21.5
111,22/01/2021 10:56,0,21.8,21,21.5
112,22/01/2021 10:56,500,21.8,20.9,21.5
113,22/01/2021 10:56,0,21.8,21,21.6
114,22/01/2021 10:56,500,21.8,20.9,21.6
115,22/01/2021 10:56,0,21.8,21,21.6
116,22/01/2021 10:56,500,21.8,21,21.5
117,22/01/2021 10:56,0,21.8,21,21.6
118,22/01/2021 10:56,500,21.8,21,21.6
119,22/01/2021 10:56,0,21.9,20.9,21.6
120,22/01/2021 10:56,500,21.8,21,21.6
121,22/01/2021 10:56,0,21.8,21,21.6
122,22/01/2021 10:56,500,21.9,21,21.6
123,22/01/2021 10:56,0,21.9,21,21.6
124,22/01/2021 10:56,500,21.9,20.9,21.6
125,22/01/2021 10:56,0,21.8,20.9,21.6
126,22/01/2021 10:56,500,21.9,20.9,21.5
127,22/01/2021 10:56,0,21.9,20.9,21.5
128,22/01/2021 10:56,500,21.9,20.9,21.5
129,22/01/2021 10:56,0,21.9,20.9,21.5
130,22/01/2021 10:56,500,21.8,20.9,21.5
131,22/01/2021 10:56,0,21.8,20.9,21.5
132,22/01/2021 10:56,500,21.8,21,21.6
133,22/01/2021 10:56,0,21.9,21,21.6
134,22/01/2021 10:56,500,21.8,21,21.5
135,22/01/2021 10:56,0,21.9,21,21.5
136,22/01/2021 10:56,500,21.9,21,21.6
137,22/01/2021 10:56,0,21.9,21,21.5
138,22/01/2021 10:56,500,21.9,21,21.6
139,22/01/2021 10:56,0,21.9,20.9,21.6
140,22/01/2021 10:56,500,21.8,20.9,21.7
141,22/01/2021 10:56,0,21.9,20.9,21.7
142,22/01/2021 10:56,500,21.9,21,21.7
143,22/01/2021 10:56,0,21.9,21,21.8
144,22/01/2021 10:56,500,21.9,21,21.8
145,22/01/2021 10:56,0,21.9,21,21.8
146,22/01/2021 10:56,500,21.8,21,21.7
147,22/01/2021 10:56,0,21.9,21,21.7
148,22/01/2021 10:56,500,21.8,20.9,21.7
149,22/01/2021 10:56,0,21.8,20.9,21.7
150,22/01/2021 10:56,500,21.8,20.9,21.6
151,22/01/2021 10:56,0,21.8,20.9,21.7
152,22/01/2021 10:56,500,21.8,20.9,21.6
153,22/01/2021 10:56,0,21.8,20.9,21.8
