Number,Date&Time,ms,CH1,CH2,CH3
NO.,Time,ms,degC,degC,degC
1,22/01/2021 11:08,0,21.4,21,22.4
2,22/01/2021 11:08,500,21.4,21,22.5
3,22/01/2021 11:08,0,21.4,21,22.5
4,22/01/2021 11:08,500,21.4,21,22.5
5,22/01/2021 11:08,0,21.3,21,22.4
6,22/01/2021 11:08,500,21.3,21,22.4
7,22/01/2021 11:08,0,21.4,21,22.4
8,22/01/2021 11:08,500,21.3,21,22.4
9,22/01/2021 11:08,0,21.4,21,22.3
10,22/01/2021 11:08,500,21.4,21,22.3
11,22/01/2021 11:08,0,21.4,21,22.3
12,22/01/2021 11:08,500,21.4,21,22.3
13,22/01/2021 11:08,0,21.4,21,22.3
14,22/01/2021 11:08,500,21.4,21,22.3
15,22/01/2021 11:08,0,21.4,21,22.3
16,22/01/2021 11:08,500,21.4,21,22.3
17,22/01/2021 11:08,0,21.5,21,22.2
18,22/01/2021 11:08,500,21.5,21,22.3
19,22/01/2021 11:08,0,21.4,21,22.2
20,22/01/2021 11:08,500,21.4,21,22.1
21,22/01/2021 11:08,0,21.4,21,22.2
22,22/01/2021 11:08,500,21.4,21,22.2
23,22/01/2021 11:08,0,21.4,21,22.2
24,22/01/2021 11:08,500,21.4,21,22.1
25,22/01/2021 11:08,0,21.5,21,22.1
26,22/01/2021 11:08,500,21.4,21,22.1
27,22/01/2021 11:08,0,21.4,21,22.1
28,22/01/2021 11:08,500,21.4,21,22.1
29,22/01/2021 11:08,0,21.4,21,22.1
30,22/01/2021 11:08,500,21.4,21,22.1
31,22/01/2021 11:08,0,21.4,21,22.1
32,22/01/2021 11:08,500,21.4,21,22.1
33,22/01/2021 11:08,0,21.5,21,22.1
34,22/01/2021 11:08,500,21.5,21,22.1
35,22/01/2021 11:08,0,21.4,21,22.1
36,22/01/2021 11:08,500,21.5,21,22.1
37,22/01/2021 11:08,0,21.5,21,22.1
38,22/01/2021 11:08,500,21.5,21,22.1
39,22/01/2021 11:08,0,21.5,21,22.1
40,22/01/2021 11:08,500,21.5,21,22.1
41,22/01/2021 11:08,0,21.5,21,22.1
42,22/01/2021 11:08,500,21.5,21,22.1
43,22/01/2021 11:08,0,21.5,21.1,22.1
44,22/01/2021 11:08,500,21.5,21,22.1
45,22/01/2021 11:08,0,21.5,21,22.1
46,22/01/2021 11:08,500,21.5,21,22.1
47,22/01/2021 11:08,0,21.5,21,22.1
48,22/01/2021 11:08,500,21.4,21,22.1
49,22/01/2021 11:08,0,21.5,21,22.1
50,22/01/2021 11:08,500,21.5,21.1,22.1
51,22/01/2021 11:08,0,21.5,21,22.1
52,22/01/2021 11:08,500,21.5,21,22.1
53,22/01/2021 11:08,0,21.5,21,22.1
54,22/01/2021 11:08,500,21.5,21,22.1
